"price","volume","yard","area","rooms","sleeping","iso","hood","garden","balcony","garage","age","openh","paint","days","mALM","mAMS","mBRE","mDHA","mEIN","mGRO","mNIJ","mROT","mTIL","mUTR"
375000,400,205,117,6,4,0,"Biezen",1,1,0,89,0,0,32,0,0,0,0,0,0,1,0,0,0
675000,731,580,188,5,3,0,"Kwakkenberg",1,0,1,60,0,0,56,0,0,0,0,0,0,1,0,0,0
539000,571,307,152,6,4,0,"Groenewoud",1,0,1,59,0,0,136,0,0,0,0,0,0,1,0,0,0
495000,570,287,146,6,4,0,"Galgenveld",1,0,0,67,1,0,42,0,0,0,0,0,0,1,0,0,0
375000,325,285,110,5,4,0,"Hazenkamp",1,1,0,66,1,0,43,0,0,0,0,0,0,1,0,0,0
370000,245,396,87,4,3,0,"St. Anna",1,0,0,109,0,0,43,0,0,0,0,0,0,1,0,0,0
400000,500,568,140,5,4,0,"St. Anna",1,0,0,91,0,0,48,0,0,0,0,0,0,1,0,0,0
865000,955,160,211,7,5,0,"Hunnerberg",1,1,0,123,1,0,52,0,0,0,0,0,0,1,0,0,0
425000,497,140,132,6,3,0,"Hees",1,1,0,85,0,0,53,0,0,0,0,0,0,1,0,0,0
600000,718,476,165,7,4,0,"Oosterhout",1,0,1,12,0,0,268,0,0,0,0,0,0,1,0,0,0
624500,735,0,206,1,3,0,"Lent",0,1,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
599900,713,0,199,1,3,0,"Lent",0,1,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
487500,584,0,158,1,3,0,"Lent",0,0,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
629900,699,0,185,1,3,0,"Lent",0,0,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
592500,636,0,177,1,3,0,"Lent",0,0,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
485000,584,0,158,1,3,0,"Lent",0,0,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
482000,584,0,158,1,3,0,"Lent",0,0,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
492500,584,0,158,1,3,0,"Lent",0,0,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
489000,584,0,158,1,3,0,"Lent",0,0,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
495000,584,0,158,1,3,0,"Lent",0,0,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
495000,584,0,158,1,3,0,"Lent",0,0,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
160000,150,0,46,2,1,0,"Biezen",1,0,0,43,0,0,6,0,0,0,0,0,0,1,0,0,0
975000,1360,5500,278,8,5,0,"Oosterhout",1,0,1,41,1,0,329,0,0,0,0,0,0,1,0,0,0
250000,259,1351,77,2,0,0,"Stadscentrum",0,0,0,10,0,0,31,0,0,0,0,0,0,1,0,0,0
162000,220,0,81,3,2,0,"Neerbosch-Oost",0,1,0,48,0,0,7,0,0,0,0,0,0,1,0,0,0
400000,430,0,130,6,3,0,"Galgenveld",0,0,0,120,0,0,8,0,0,0,0,0,0,1,0,0,0
225000,210,0,63,3,2,0,"Hazenkamp",1,1,0,64,0,0,9,0,0,0,0,0,0,1,0,0,0
225000,486,140,133,4,3,0,"Lankforst",1,0,0,49,0,0,50,0,0,0,0,0,0,1,0,0,0
195000,236,0,70,4,2,0,"Heseveld",0,1,0,56,0,0,30,0,0,0,0,0,0,1,0,0,0
600000,746,1550,182,6,4,0,"Ressen",1,0,1,19,0,0,70,0,0,0,0,0,0,1,0,0,0
300000,455,227,147,5,4,0,"De Kamp",1,0,0,40,0,0,70,0,0,0,0,0,0,1,0,0,0
265000,542,182,130,7,0,0,"Tolhuis",1,1,1,46,0,0,91,0,0,0,0,0,0,1,0,0,0
295000,375,0,111,5,3,0,"Galgenveld",0,1,0,71,0,0,14,0,0,0,0,0,0,1,0,0,0
255000,205,0,67,3,2,0,"Altrade",0,1,1,37,0,0,15,0,0,0,0,0,0,1,0,0,0
578750,700,0,182,5,3,0,"Lent",1,0,1,119,0,0,100,0,0,0,0,0,0,1,0,0,0
508500,637,0,166,5,3,0,"Lent",1,0,1,111,0,0,100,0,0,0,0,0,0,1,0,0,0
159000,225,0,65,2,1,0,"Hees",0,1,0,59,0,0,16,0,0,0,0,0,0,1,0,0,0
200000,200,0,72,3,2,0,"Hatertse Hei",0,1,0,64,0,0,17,0,0,0,0,0,0,1,0,0,0
535000,627,244,172,6,4,0,"Galgenveld",1,1,0,90,0,0,78,0,0,0,0,0,0,1,0,0,0
583000,636,0,177,1,3,0,"Lent",0,0,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
502500,605,0,158,1,3,0,"Lent",0,0,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
595500,663,0,177,1,3,0,"Lent",0,0,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
589000,636,0,177,1,3,0,"Lent",0,0,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
519000,605,0,158,1,3,0,"Lent",0,0,0,49,0,0,59,0,0,0,0,0,0,1,0,0,0
298000,340,143,95,5,3,0,"Groenewoud",1,0,0,60,0,0,79,0,0,0,0,0,0,1,0,0,0
235000,252,0,69,3,2,0,"Hazenkamp",1,0,0,66,0,0,20,0,0,0,0,0,0,1,0,0,0
150000,200,0,58,4,3,0,"Hatert",0,1,1,55,0,0,21,0,0,0,0,0,0,1,0,0,0
279500,281,0,89,3,2,0,"Benedenstad",0,0,0,33,0,0,25,0,0,0,0,0,0,1,0,0,0
628000,690,0,175,5,3,0,"Lent",0,0,1,119,0,0,100,0,0,0,0,0,0,1,0,0,0
260000,443,206,125,5,4,0,"&#39;t Acker",1,0,1,33,0,0,91,0,0,0,0,0,0,1,0,0,0
335000,500,182,175,7,6,0,"Heseveld",1,0,0,47,0,0,87,0,0,0,0,0,0,1,0,0,0
239000,245,0,71,3,2,0,"Altrade",0,1,0,37,0,0,29,0,0,0,0,0,0,1,0,0,0
265000,490,187,150,6,4,0,"Weezenhof",1,0,0,49,0,0,89,0,0,0,0,0,0,1,0,0,0
469500,565,311,128,7,5,0,"Hatertse Hei",1,1,0,89,0,0,90,0,0,0,0,0,0,1,0,0,0
645000,890,362,233,8,5,0,"Galgenveld",1,0,0,83,1,0,90,0,0,0,0,0,0,1,0,0,0
999000,532,0,166,3,2,0,"",0,0,1,4,0,0,169,0,0,0,0,0,0,1,0,0,0
250000,546,194,148,6,3,0,"Tolhuis",1,1,1,47,0,0,161,0,0,0,0,0,0,1,0,0,0
600000,470,0,156,4,3,0,"Hengstdal",0,0,1,113,0,0,191,0,0,0,0,0,0,1,0,0,0
239000,213,0,68,3,2,0,"Hazenkamp",0,1,0,31,0,0,43,0,0,0,0,0,0,1,0,0,0
